ID	SRCID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	ANNOTATIONS	COMMENT
1	1p-paucal	1P Paucal				Should use the plural, as no other plural is provided in the wordlist?
2	2p-paucal	2P Paucal				Should use the plural, as no other plural is provided in the wordlist?
3	2sg	2SG	1215	THOU		
4	3p-paucal	3P Paucal				Should use the plural, as no other plural is provided in the wordlist?
5	abdomen	abdomen	1251	BELLY	abdomen / abdomen, navel, belly / abdomen, below navel / belly / get sick	
6	boil	a boil	793	BOIL (OF SKIN)		
7	above	above	1741	ABOVE	also 'on' / adv 'on, over, up'	
8	a-certain-one-some-another	a (certain one), some, another			another, different / a (certain one), one, some / a (certain one), one, some, another / a, one, other / a, one, some / a, one, another	
9	cough	a cough	879	COUGH	(Acɨ dialect)	
10	across	across	2670	ACROSS	across (stream) / wild animal	
11	adams-apple	Adam's apple	802	ADAM'S APPLE		
12	adj-suffix	adj. suffix				
13	dream	a dream	2455	DREAMING OR DREAM		
14	affix-body-part	affix: body-part				
15	afraid	afraid	1419	FEAR (BE AFRAID)	+	
16	afternoon	afternoon	1807	AFTERNOON	afternoon / evening / yesterday / afternoon, evening / night / late afternoon, early twilight, trysting hour / +	
17	afterwards	afterwards	2093	AFTERWARDS	afterwards, later / afterwards	
18	again	again	204	AGAIN		
19	alangalang	alangalang				Imperata cylindrica
20	all	all	98	ALL	'all these' / 'all, whole' / - / all	
21	also	also			also	
22	always	always	1676	ALWAYS	+	
23	anatto-lipstick-tree	anatto (lipstick tree)			red / Lipstick Plant, Anatto Arnotto; anatto paint, red paint	from Bixa orellana
24	ancestor	ancestor	1669	ANCESTORS		
25	and	and	1577	AND	(with) / also 'with' / and, with, also / NP and NP / and / with / and (joining nouns)	
26	and-i	and I				
27	angry	angry	1826	ANGRY	Boa: P. genafĕ: P. is angry; P. note gendonafeĕ: P. is angry with me. Zim/Bɛg: pɔŋgɔanda: he is angry / Boa: P. genafě : P. Is angry; P. note gendonafě: P. is angry with me. Sim/Bɛg: pɔŋgɔada: he is angry / be angry	
28	animal	animal	619	ANIMAL	animal (skin, body) / wild animal / animal (as game, generic), meat / animal / animal (generic)	
29	ankle	ankle	803	ANKLE	ankle bone	
30	another	another	197	OTHER		
31	ant	ant	587	ANT	ant / cicada / flying ants / black biting ant / ant sp. / edible ants / red ant / black ant / ant, rattan cane / rattan cane vine / termite, white ant	
32	anus-buttocks	anus, buttocks	1935	ANUS	anus / [W] / internal organs, stomach, liver / anus, buttocks / buttocks	BUTTOCKS 834 is mapped in the `buttock(s)` gloss
33	appetiser	appetiser				
34	areca-nut	areca nut				Not clear the difference to `betelnut`, should be the same thing (seed of Areca catechu, maybe confused with Piper betle due to paan?)
35	arise	arise				Not clear if person (intr.), things (tr.), or celestial bodies.
36	arm	arm	1673	ARM	arm / upper arm / *Moszkowski list / forearm / hand / -	
37	armband	armband				
38	arm-hand	arm, hand	2121	ARM OR HAND	hand, foot / hand, arm / arm, hands / branch, appendage / arm/hand/paddle / hand, arm, paw, name avoidance word for wing / foot / arm, hand / (fore)arm/hand / left hand / hand/arm / finger / arm, hand, branch, handle, foreleg (of animal), wing / arm (lower) / five / wing / arm, hand, branch, handle / palm of hand / his hand / forearm / arm, hand, foreleg, branch	
39	armpit	armpit	1886	ARMPIT	dzʌkʌyok	
40	arrow	arrow	977	ARROW	arrow with wooden point / spear / arrow with bamboo blade  / 'arrow type 1' / arrow / 'arrow type 2' / arrow with bamboo blade / 'type 2' / 'type 1' / -	
41	arrow-barred	arrow (barred)				
42	arrow-hooked	arrow (hooked)				
43	arrow-pronged	arrow (pronged)			'pronged bird arrow'	
44	arrow-shaft	arrow shaft				
45	ash	ash	646	ASH	ember / [S]	
46	ashes	ashes	646	ASH	ashes / = soot / to burn / ashes, fireplace / ga / ashes *awetu/ / embers / embers of a fire / ashes (black) / white ash / white ashes / Daga - oma mútua / ashes (where fire is built) / hearth, white or grey ashes / -	
47	ask	ask	1309	ASK (INQUIRE)		
48	at	at	1461	AT	'at there' / at / 'at, with'	
49	aunt	aunt	1272	AUNT	female kinsfolk, a woman's female relatives / aunt / aunt: father's sister, mother's brother's wife / paternal aunt / brother / brother (of man) / mother-in-law, female relatives / aunt on father's side / your aunt (possessive referential term) / sister (older of man) / sisters, woman's female relatives in her generation / aunt, father's sister, mother's brother's wife / aunty	
50	auxiliary-verb	auxiliary verb			sneeze, cough	
51	avenge	avenge	495	REVENGE	[W] / [S] / [Y]	
52	awaken	awaken	825	AWAKE		
